slither-detect,OWASP
abiencoderv2-array,N/A
arbitrary-send-erc20,SC01
arbitrary-send-erc20-permit,SC01
arbitrary-send-eth,SC01
array-by-reference,SC03
assembly,N/A
assert-state-change,SC03 
boolean-cst,SC03
boolean-equal,N/A
cache-array-length,N/A
calls-loop,SC10
chainlink-feed-registry,N/A
chronicle-unchecked-price,N/A
codex,N/A
constable-states,N/A
constant-function-asm,SC03
constant-function-state,SC03
controlled-array-length,SC04
controlled-delegatecall,SC01
costly-loop,SC10
cyclomatic-complexity,N/A
dead-code,N/A
delegatecall-loop,SC10
deprecated-standards,N/A
divide-before-multiply,SC03
domain-separator-collision,SC03
encode-packed-collision,SC03
enum-conversion,SC04
erc20-indexed,N/A
erc20-interface,SC06
erc721-interface,N/A
events-access,SC01
events-maths,N/A
external-function,N/A
function-init-state,N/A
gelato-unprotected-randomness,SC09
immutable-states,N/A
incorrect-equality,SC03
incorrect-exp,SC03
incorrect-modifier,SC03
incorrect-return,SC03
incorrect-shift,SC03
incorrect-unary,SC03
incorrect-using-for,N/A
locked-ether,SC03
low-level-calls,SC06
mapping-deletion,SC03
missing-inheritance,SC03
missing-zero-check,SC04
msg-value-loop,N/A
multiple-constructors,SC03
name-reused,SC03
naming-convention,N/A
optimism-deprecation,N/A
out-of-order-retryable,SC03
pragma,N/A
protected-vars,SC01
public-mappings-nested,SC03
pyth-deprecated-functions,N/A
pyth-unchecked-confidence,N/A
pyth-unchecked-publishtime,N/A
redundant-statements,N/A
reentrancy-benign,SC05
reentrancy-eth,SC05
reentrancy-events,SC05
reentrancy-no-eth,SC05
reentrancy-unlimited-gas,SC05
return-bomb,SC10
return-leave,SC03
reused-constructor,SC03
rtlo,SC04
shadowing-abstract,SC03
shadowing-builtin,SC03
shadowing-local,SC03
shadowing-state,SC03
solc-version,N/A
storage-array,N/A
suicidal,SC01
tautological-compare,SC03
tautology,SC03
timestamp,N/A
too-many-digits,N/A
tx-origin,SC01
unchecked-lowlevel,SC06
unchecked-send,SC06
unchecked-transfer,SC06
unimplemented-functions,N/A
uninitialized-fptr-cst,N/A
uninitialized-local,SC03
uninitialized-state,SC03
uninitialized-storage,SC01
unprotected-upgrade,SC01
unused-return,N/A
unused-state,N/A
var-read-using-this,N/A
variable-scope,SC03
void-cst,N/A
weak-prng,SC09
write-after-write,SC03
